entrez	list
1178	Healthy
1974	Healthy
677800	Healthy
8738	Healthy
509	Healthy
84693	Healthy
25934	Healthy
10438	Healthy
10434	Healthy
285237	Healthy
10438	Healthy
28998	Healthy
285237	Healthy
285237	Healthy
9556	Healthy
28998	Healthy
55837	Healthy
1974	Healthy
23608	Healthy
51375	Healthy
286053	Healthy
7518	Healthy
11235	Healthy
54675	Healthy
10434	Healthy
11235	Healthy
29097	Healthy
51241	Healthy
4709	Healthy
5501	Healthy
9043	Healthy
9419	Healthy
26175	Healthy
5501	Healthy
51569	Healthy
51002	Healthy
9326	Healthy
11235	Healthy
1347	Healthy
27068	Healthy
84661	Healthy
3281	Healthy
51375	Healthy
466	Healthy
10175	Healthy
3176	Healthy
55204	Healthy
493856	Healthy
3281	Healthy
84191	Healthy
9043	Healthy
84520	Healthy
23583	Healthy
55204	Healthy
60491	Healthy
8346	Healthy
84309	Healthy
84274	Healthy
84266	Healthy
8649	Healthy
6392	Healthy
51714	Healthy
23582	Healthy
8801	Healthy
8738	Healthy
50484	Healthy
83591	Healthy
549	Healthy
79685	Healthy
128061	Healthy
51023	Healthy
79568	Healthy
51668	Healthy
81579	Healthy
54819	Healthy
10247	Healthy
8738	Healthy
54819	Healthy
10190	Healthy
254863	Healthy
3281	Healthy
55863	Healthy
51002	Healthy
51375	Healthy
2108	Healthy
4151	Healthy
4709	Healthy
847	Healthy
55266	Healthy
6120	Healthy
153339	Healthy
23608	Healthy
55916	Healthy
51727	Healthy
5134	Healthy
6392	Healthy
55328	Healthy
51375	Healthy
25898	Healthy
7504	Healthy
389203	Healthy
2108	Healthy
90410	Healthy
3094	Healthy
84309	Healthy
8346	Healthy
23351	Healthy
136647	Healthy
84747	Healthy
135154	Healthy
114926	Healthy
55233	Healthy
284613	Healthy
51375	Healthy
6342	Healthy
57035	Healthy
9043	Healthy
847	Healthy
128061	Healthy
5134	Healthy
1979	Healthy
64398	Healthy
3176	Healthy
90871	Healthy
55745	Healthy
5825	Healthy
10190	Healthy
51128	Healthy
286144	Healthy
81579	Healthy
6342	Healthy
79868	Healthy
51534	Healthy
83787	Healthy
11163	Healthy
466	Healthy
